,INDONESIA,,,JAWA,,,Inggris,
13,Dimanakah saya bisa mendapatkan bika ambon?,"Bika ambon merupakan sejenis kue yang berasal dari Medan. Namun jika anda ingin membeli bika ambon yang dekat wilayahnya, anda bisa membelinya di ruko cabang malang",,Bika Ambon neng endi?,Bika Ambon inggih menika salah satunggaling jinis jajanan ingkang asalipun saking Medan. Ananging menawi badhe tumbas Bika Ambon ing sacelakipun tlatah menika saged dipuntumbas wonten ing toko cabang Malang,,Where can I get Bika Ambon?,"Bika Ambon is a type of cake originating from Medan. However, if you want to buy Bika Ambon near the area, you can buy it at the Malang branch shop"
14,Apa resep untuk membuat gulai ini gurih?,Gulai terbuat dari santan kelapa yang memiliki rasa yang gurih jika digunakan dengan banyak.,,Apa resep kanggo nggawe kari sing enak iki?,Gulai digawe saka santen sing rasane enak yen akeh digunakake.,,What is the recipe for making this delicious curry?,Gulai is made from coconut milk which has a delicious taste if used a lot.
15,Bagaimana cara memakan ketupat ini?,Ketupat merupakan makanan yang terbuat dari beras yang dibungkus dengan daun kelapa. Ketupat biasanya di makan dengan gulai.,,Carane mangan ketupat iki?,Ketupat yaiku panganan sing digawe saka beras sing dibungkus godhong klapa. Ketupat biasane dipangan karo kari.,,How do you eat this ketupat?,Ketupat is a food made from rice wrapped in coconut leaves. Ketupat is usually eaten with curry.
16,Apakah kamu pernah mencoba Roti Tawar Singkong?,"Saya pernah mencoba Roti Tawar Singkong. Rasanya gurih dan renyah, sangat cocok untuk camilan.",,Apa sampeyan wis tau nyoba Roti Singkong?,"Aku wis nyoba Roti singkong. Rasane enak lan renyah, cocok banget kanggo cemilan.",,Have you ever tried Cassava Bread?,"I've tried Cassava Bread. It tastes delicious and crunchy, very suitable for snacks."
17,"Jenang atau Getuk Lindri, mana yang lebih kamu suka?","Saya lebih suka Jenang daripada Getuk Lindri. Jenang memiliki tekstur yang lebih halus dan manis, enak untuk makanan penutup.",,"Jenang utawa Getuk Lindri, sing luwih disenengi?","Aku luwih milih Jenang tinimbang Getuk Lindri. Jenang nduweni tekstur sing luwih alus lan manis, enak kanggo panganan cuci mulut.",,"Jenang or Getuk Lindri, which do you like better?","I prefer Jenang to Getuk Lindri. Jenang has a smoother and sweeter texture, delicious for desserts."
18,Bagaimana rasanya Klappertaart?,Klappertaart memiliki tekstur yang lembut dan krimi dengan rasa kelapa yang khas. Rasanya sangat lezat.,,Piye rasane Klappertaart?,Klappertaart nduweni tekstur sing lembut lan krim kanthi rasa klapa sing khas. Rasane enak banget.,,How does Klappertaart taste?,Klappertaart has a soft and creamy texture with a distinctive coconut taste. It tastes very delicious.
19,Apa yang membuat Apel Malang unik?,"Apel Malang unik karena memiliki rasa yang manis dan segar, dengan tekstur yang renyah.",,Apa sing ndadekake Malang Apple unik?,"Apel Malang unik amarga rasane manis lan seger, teksture renyah.",,What makes Malang Apple unique?,"Malang apples are unique because they have a sweet and fresh taste, with a crunchy texture."
20,Bagaimana rasa Bakpia Pathok?,Bakpia Pathok memiliki rasa manis gurih dengan isian kacang yang lembut. Sangat enak dan cocok untuk cemilan.,,Piye rasane Bakpia Pathok?,Bakpia Pathok rasane legi lan gurih karo isi kacang empuk. Sedhep banget lan cocok kanggo cemilan.,,How does Bakpia Pathok taste?,Bakpia Pathok has a sweet and savory taste with a soft peanut filling. Very tasty and suitable for snacks.
21,Apa makanan Geplak itu?,Geplak adalah jajanan tradisional dengan cita rasa manis dan tekstur yang lengket.,,Apa panganan Geplak?,Geplak minangka jajanan tradhisional kanthi rasa manis lan tekstur ketan.,,What is Geplak food?,Geplak is a traditional snack with a sweet taste and sticky texture.
22,Apa yang membuat Lapis Legit istimewa?,Lapis Legit istimewa karena dibuat dengan lapisan yang tipis dan tekstur yang lembut. Rasanya manis dan lezat.,,Apa sing nggawe Lapis Legit istimewa?,Lapis Legit istimewa amarga digawe kanthi lapisan tipis lan tekstur alus. Rasane legi lan enak.,,What makes Lapis Legit special?,Lapis Legit is special because it is made with a thin layer and soft texture. It tastes sweet and delicious.
23,Bagaimana pendapatmu tentang Pia Malang?,"Saya suka Pia Malang. Pia ini memiliki kulit yang renyah dan isian yang lezat, biasanya berupa kacang hijau atau cokelat.",,Apa pendapatmu babagan Pia Malang?,"Aku seneng Pia Malang. Pia iki nduweni kulit sing renyah lan isi sing enak, biasane kacang ijo utawa coklat.",,What do you think about Pia Malang?,"I like Pia Malang. This pia has a crispy crust and a delicious filling, usually green beans or chocolate."
24,Apakah kamu suka Jajan Pasar?,Saya suka Jajan Pasar. Makanan-makanan tradisional di jajan pasar memiliki cita rasa yang khas dan unik.,,Apa sampeyan seneng jajanan pasar?,Aku seneng Snack Market. Panganan tradisional ing pasar jajanan nduweni rasa sing khas lan unik.,,Do you like Market Snacks?,I like Snack Market. Traditional food at the snack market has a distinctive and unique taste.
25,"Es Krim Malang atau Es Cendol, pilih yang mana?",Saya lebih suka Es Krim Malang. Es krim ini memiliki berbagai varian rasa yang lezat dan cocok untuk cuaca panas.,,"Es Krim Malang utawa Es Cendol, kowe milih sing endi?",Aku luwih seneng Es Krim Malang. Es krim iki nduweni macem-macem rasa sing enak lan cocok kanggo cuaca panas.,,"Malang Ice Cream or Cendol Ice, which do you choose?",I prefer Malang Ice Cream. This ice cream has various delicious flavors and is suitable for hot weather.
26,Bagaimana rasanya Es Doger?,"Es Doger memiliki rasa manis dan segar, terutama karena campuran es krim, kacang merah, dan cendol.",,Piye rasane Es Doger?,"Es Doger nduweni rasa manis lan seger, utamane amarga campuran es krim, kacang abang lan cendol.",,How does Es Doger taste?,"Es Doger has a sweet and fresh taste, especially because of the mixture of ice cream, red beans and cendol."
27,"Es Goyobod itu apa, dan bagaimana rasanya?","Es Goyobod adalah minuman tradisional yang terbuat dari santan, gula merah, dan es serut. Rasanya manis dan kental.",,"Apa iku Es Goyobod, lan kepiye rasane?","Es Goyobod ya iku wedang tradhisional kang digawé saka santen, gula abang lan es serut. Rasane legi lan kenthel.",,"What is Goyobod Ice, and how does it taste?","Es Goyobod is a traditional drink made from coconut milk, brown sugar and shaved ice. It tastes sweet and thick."
28,"Es Teler atau Es Tape, pilih yang mana?","Saya lebih suka Es Teler. Es Teler memiliki banyak tambahan seperti alpukat, kelapa muda, dan nangka yang membuatnya segar.",,"Es Teler utawa Es Tape, sing sampeyan pilih?","Aku luwih seneng Es Teler. Es Teler akeh tambahan kayata alpukat, klapa enom lan nangka sing nggawe seger.",,"Es Teler or Es Tape, which do you choose?","I prefer Es Teler. Es Teler has many additions such as avocado, young coconut and jackfruit which make it fresh."
29,Apa yang membuat Dawet Ireng spesial?,Dawet Ireng spesial karena memiliki tekstur kenyal dan manis dengan tambahan santan.,,Apa sing ndadekake Dawet Ireng istimewa?,Dawet Ireng iku istimewa amarga teksture kenyal lan legi ditambahi santen.,,What makes Dawet Ireng special?,Dawet Ireng is special because it has a chewy and sweet texture with the addition of coconut milk.
30,Apa yang kamu suka dari Wedang Ronde?,Saya suka Wedang Ronde karena memiliki rasa jahe yang hangat dan kenyalnya bola-bola ketan.,,Apa sing disenengi karo Wedang Ronde?,Aku seneng Wedang Ronde amarga rasane jahe sing anget lan kenyal saka ketan ketan.,,What do you like about Wedang Ronde?,I like Wedang Ronde because it has the warm taste of ginger and the chewiness of the sticky rice balls.
31,Apakah kamu lebih suka Es Legi atau Es Cincau?,"Saya lebih suka Es Legi. Es Legi memiliki rasa gula aren yang khas dan tekstur yang kenyal, cocok untuk pencuci mulut.",,Apa sampeyan luwih seneng Es Legi utawa Es Cincau?,"Aku luwih seneng Es Legi. Es Legi nduweni rasa gula aren sing khas lan tekstur kenyal, cocok kanggo panganan cuci mulut.",,Do you prefer Es Legi or Es Cincau?,"I prefer Es Legi. Es Legi has a distinctive palm sugar taste and chewy texture, perfect for dessert."
32,Apa yang paling kamu nikmati dari Wedang Uwuh?,Yang paling saya nikmati dari Wedang Uwuh adalah kombinasi rempah-rempah yang harum dan rasa manisnya.,,Apa sing paling disenengi saka Wedang Uwuh?,Sing paling disenengi Wedang Uwuh yaiku kombinasi bumbu sing wangi lan rasa manis.,,What do you enjoy most about Wedang Uwuh?,What I enjoy most about Wedang Uwuh is the combination of fragrant spices and sweet taste.
33,Bagaimana rasanya Es Pisang Ijo?,Es Pisang Ijo memiliki rasa manis dan segar dengan tekstur yang lembut.,,Piye rasane Es Pisang Ijo?,Es Pisang Ijo nduweni rasa manis lan seger kanthi tekstur sing lembut.,,How does Ijo Banana Ice taste?,Ijo Banana Ice has a sweet and fresh taste with a soft texture.
34,Apa yang kamu suka dari Es Krim Unik?,Saya suka variasi rasa dan bentuk yang unik dari Es Krim Unik. Selalu ada sesuatu yang menarik untuk dicoba.,,Apa sing sampeyan seneng babagan Es Krim Unik?,Aku seneng macem-macem rasa lan bentuk unik saka Es Krim Unik. Ana tansah soko menarik kanggo nyoba.,,What do you like about Unique Ice Cream?,I love the variety of flavors and unique shapes of Unique Ice Cream. There is always something interesting to try.
35,Bagaimana pengalamanmu dengan Keripik Singkong?,Saya menyukai Keripik Singkong karena rasanya gurih dan renyah. Cocok sebagai camilan ringan.,,Apa pengalaman sampeyan karo Kripik Singkong?,Aku seneng Keripik singkong amarga rasane enak lan renyah. Cocog minangka cemilan entheng.,,What is your experience with Cassava Chips?,I like Cassava Chips because they taste delicious and crunchy. Suitable as a light snack.
36,"Keripik Pisang atau Keripik Tempe, mana yang lebih kamu suka?",Saya lebih suka Keripik Pisang karena rasanya manis dan krenyel.,,"Kripik Pisang utawa Kripik Tempe, sing luwih disenengi?",Aku luwih seneng Kripik Pisang amarga rasane manis lan renyah.,,"Banana Chips or Tempeh Chips, which do you like better?",I prefer Banana Chips because they taste sweet and crunchy.
37,Apakah kamu lebih suka Keripik Ubi atau Keripik Jagung?,"Saya lebih suka Keripik Ubi karena rasanya manis dan renyah, dan juga berwarna yang menarik.",,Apa sampeyan luwih seneng Kripik Kentang utawa Kripik Jagung?,"Aku luwih seneng Kripik Kentang amarga rasane manis lan renyah, lan uga nduweni warna sing menarik.",,Do you prefer Sweet Potato Chips or Corn Chips?,"I prefer Sweet Potato Chips because they taste sweet and crunchy, and also have an attractive color."
38,"Keripik Kentang atau Keripuk, pilih yang mana?",Saya lebih suka Keripik Kentang karena rasanya gurih dan teksturnya yang renyah.,,"Kripik kentang utawa krupuk, sampeyan milih sing endi?",Aku luwih seneng Kripik Kentang amarga rasa sing enak lan tekstur sing renyah.,,"Potato Chips or Crackers, which do you choose?",I prefer Potato Chips because of their delicious taste and crunchy texture.
39,Bagaimana rasanya Cokelat Khas Malang?,Cokelat Khas Malang memiliki rasa manis dengan sentuhan unik. Saya suka cokelat dengan berbagai rasa dan bentuk.,,Piye rasane Coklat Khas Malang?,Coklat khas Malang nduweni rasa manis kanthi sentuhan unik. Aku seneng coklat ing macem-macem rasa lan wujud.,,How does Malang Typical Chocolate taste?,Typical Malang Chocolate has a sweet taste with a unique touch. I love chocolate in various flavors and shapes.
40,Bagaimana pendapatmu tentang Kacang Telur?,Kacang Telur adalah camilan gurih yang sangat enak. Saya suka rasa kacang dan kerenyahan telurnya.,,Apa sampeyan mikir babagan Egg Nuts?,Kacang Telur minangka cemilan gurih banget. Aku seneng rasa nutty lan crunch saka endhog.,,What do you think about Egg Nuts?,Egg Nuts are a very tasty savory snack. I love the nutty taste and crunch of the egg.
41,Bagaimana pengalamanmu dengan Kerupuk?,"Saya sering makan Kerupuk. Rasanya gurih dan teksturnya renyah, cocok sebagai pendamping hidangan.",,Piye pengalamanmu karo Kerupuk?,"Aku kerep mangan krupuk. Rasane enak lan teksture renyah, cocok kanggo pelengkap masakan.",,How was your experience with Kerupuk?,"I often eat crackers. The taste is delicious and the texture is crunchy, suitable as an accompaniment to dishes."
42,"Getuk Ubi atau Keripik Singkong, pilih yang mana?",Saya lebih suka Keripik Singkong karena rasanya yang gurih dan renyah.,,"Getuk Ubi Manis utawa Keripik Singkong, sing sampeyan pilih?",Aku luwih seneng Kripik singkong amarga rasane enak lan renyah.,,"Sweet Potato Getuk or Cassava Chips, which do you choose?",I prefer Cassava Chips because they taste delicious and crunchy.
43,Apakah kamu suka makanan ringan Getuk Ubi?,Makanan Getuk Ubi ini terasa enak bagi saya. Getuk Ubi adalah camilan tradisional yang manis dan gurih.,,Kowe seneng jajanan Getuk Ubi?,Panganan Getuk Ubi iki rasane enak. Getuk Ubi minangka jajanan tradisional sing legi lan gurih.,,Do you like Getuk Ubi snacks?,This Getuk Ubi food tastes delicious to me. Getuk Ubi is a traditional sweet and savory snack.
44,Apakah kamu lebih suka makanan manis atau gurih?,"Saya lebih suka makanan manis, tetapi kadang-kadang juga suka makanan gurih sebagai variasi.",,Apa sampeyan luwih seneng panganan sing manis utawa gurih?,"Aku luwih seneng panganan manis, nanging kadhangkala uga seneng panganan gurih kanggo macem-macem.",,Do you prefer sweet or savory food?,"I prefer sweet foods, but sometimes also like savory foods for variety."
45,Apakah kamu suka minuman tradisional seperti Es Cendol?,Saya suka minuman tradisional seperti Es Cendol. Rasanya segar dan cocok sekali ketika di siang hari,,Kowe seneng ombenan tradisional kaya Es Cendol?,Aku seneng ombenan tradisional kaya Es Cendol. Rasane seger lan sampurna ing wayah awan,,Do you like traditional drinks like Es Cendol?,I like traditional drinks like Es Cendol. It feels fresh and is perfect during the day
46,Bagaimana rasanya Es Doger?,"Es Doger adalah minuman yang sangat segar. Rasanya manis dan dingin, terutama karena campuran es krim, kacang merah, dan cendol.",,Piye rasane Es Doger?,"Es Doger minangka minuman sing seger banget. Rasane legi lan adhem, luwih-luwih amarga campuran es krim, kacang abang lan cendol.",,How does Es Doger taste?,"Es Doger is a very fresh drink. It tastes sweet and cold, especially because of the mixture of ice cream, red beans and cendol."
47,Suka Es Teler atau lebih suka Dawet Ireng?,"Saya lebih suka Es Teler. Es Teler memiliki banyak tambahan seperti alpukat, kelapa muda, dan nangka yang membuatnya segar. Tapi Dawet Ireng juga enak, terutama karena sensasi kenyalnya cincau.",,Kowe seneng Es Teler opo luwih seneng Dawet Ireng?,"Aku luwih seneng Es Teler. Es Teler akeh tambahan kayata alpukat, klapa enom lan nangka sing nggawe seger. Nanging Dawet Ireng uga enak, utamane amarga rasa kenyal saka sele suket.",,Do you like Es Teler or do you prefer Dawet Ireng?,"I prefer Es Teler. Es Teler has many additions such as avocado, young coconut and jackfruit which make it fresh. But Dawet Ireng is also delicious, especially because of the chewy sensation of grass jelly."
48,Apakah kamu suka minuman dingin seperti Es Tape?,saya sangat suka minuman dingin seperti Es Tape. Es Tape adalah minuman yang manis dan fermentasi tape memberikan rasa yang khas.,,Apa sampeyan seneng omben-omben sing adhem kaya Ice Tape?,Aku pancene seneng omben-omben sing adhem kaya Ice Tape. Es Tape minangka minuman manis lan fermentasi tape menehi rasa sing khas.,,Do you like cold drinks like Ice Tape?,I really like cold drinks like Ice Tape. Es Tape is a sweet drink and tape fermentation gives it a distinctive taste.
49,Apakah kamu menyukai wedang-wedang tradisional?,"Saya sangat menyukai wedang-wedang tradisional. Mereka memberikan sensasi rasa yang beragam, dari manis hingga pedas, dan sering kali juga memberikan perasaan hangat.",,Apa sampeyan seneng wedang-wedang tradisional?,"Aku seneng banget wedang-wedang tradisional. Dheweke nyedhiyakake macem-macem sensasi rasa, saka manis nganti pedhes, lan asring uga menehi rasa anget.",,Do you like traditional wedang-wedang?,"I really like traditional wedang-wedang. They provide a variety of taste sensations, from sweet to spicy, and often also provide a warm feeling."
50,Bagaimana rasanya Wedang Ronde?,Wedang Ronde adalah minuman tradisional yang manis dan hangat. Saya suka rasa jahe dan kenyalnya bola-bola ketan yang ada di dalamnya.,,Piye rasane Wedang Ronde?,Wedang Ronde iku wedang tradhisional kang manis lan anget. Aku seneng rasa jahe lan kenyal saka bal ketan ing njero.,,How does Wedang Ronde taste?,Wedang Ronde is a traditional drink that is sweet and warm. I like the taste of ginger and the chewiness of the sticky rice balls inside.
51,Bagaimana pendapatmu tentang Es Legi?,Es Legi memiliki rasa manis yang khas dengan gula aren. Rasanya sangat segar dan cocok sebagai minuman penutup.,,Apa sampeyan mikir babagan Es Legi?,Es Legi nduweni rasa manis sing khas karo gula aren. Rasane seger banget lan cocok kanggo ombenan panganan cuci mulut.,,What do you think about Es Legi?,Es Legi has a distinctive sweet taste with palm sugar. It tastes very fresh and is suitable as a dessert drink.
52,Bagaimana pengalamanmu dengan Es Cincau?,"Saya menyukai Es Cincau. Rasanya segar dan kenyal, dan tekstur cincaunya menambah kesenangan dalam minuman.",,Kepiye pengalaman sampeyan karo Es Cincau?,"Aku seneng Ice Grass Grass. Rasane seger lan kenyal, lan tekstur sele suket nambah nyenengake kanggo ngombe.",,How was your experience with Es Cincau?,"I like Ice Grass Grass. The taste is fresh and chewy, and the grass jelly texture adds fun to the drink."
53,Bagaimana rasanya Wedang Uwuh?,"Wedang Uwuh memiliki rasa rempah-rempah yang khas. Rasanya manis dan hangat, cocok untuk memeriahkan suasana.",,Kepriye rasane Wedang Uwuh?,"Wedang Uwuh nduweni rasa bumbu sing khas. Rasane manis lan anget, cocok kanggo nguri-uri swasana.",,How does Wedang Uwuh taste?,"Wedang Uwuh has a distinctive spice taste. It tastes sweet and warm, perfect for enlivening the atmosphere."
54,Suka Es Pisang Ijo atau lebih suka Es Krim Unik?,"Saya lebih suka Es Pisang Ijo karena rasanya manis, segar, dan tekstur pisang yang lembut. Es Krim Unik juga enak, terutama karena variasi rasanya.",,Kowe seneng Es Pisang Ijo utawa luwih seneng Es Krim Unik?,"Aku luwih seneng Es Pisang Ijo amarga rasane manis, seger, lan teksture gedhang sing lembut. Es Krim sing unik uga enak, utamane amarga macem-macem rasa.",,Do you like Ijo Banana Ice or prefer Unique Ice Cream?,"I prefer Ijo Banana Ice because it tastes sweet, fresh, and has a soft banana texture. Unique Ice Cream is also delicious, especially because of the variety of flavors."
55,Bagaimana rasanya Klappertaart?,Klappertaart memiliki rasa kelapa yang khas dan tekstur lembut yang membuatnya sangat lezat. Cocok dengan selera saya.,,Piye rasane Klappertaart?,Klappertaart nduweni rasa klapa sing khas lan tekstur sing lembut sing ndadekake rasane enak banget. Cocok karo seleraku.,,How does Klappertaart taste?,Klappertaart has a distinctive coconut taste and soft texture which makes it very delicious. Suits my taste.
56,Klappertaart cocok dengan selera kamu?,"Ya benar sekali, Klappertaart cocok dengan selera saya. Saya suka tekstur lembut dan rasa kelapanya.",,Klappertaart cocog karo rasa sampeyan?,"Ya bener, Klappertaart cocok karo seleraku. Aku seneng tekstur krim lan rasa klapa.",,Klappertaart suits your taste?,"Yes, that's right, Klappertaart suits my taste. I love the creamy texture and coconut flavor."
57,"Lapis Legit atau Nastar, pilih yang mana?","Saya lebih suka Lapis Legit. Lapis Legit memiliki tekstur yang lembut dan rasa yang manis, sangat cocok sebagai makanan penutup.",,"Lapis Legit utawa Nastar, sampeyan milih sing endi?","Aku luwih seneng Lapis Legit. Lapis Legit nduweni tekstur sing lembut lan rasa manis, cocok banget kanggo panganan cuci mulut.",,"Lapis Legit or Nastar, which do you choose?","I prefer Lapis Legit. Lapis Legit has a soft texture and sweet taste, very suitable as a dessert."
58,Bagaimana rasanya Kue Talam?,Kue Talam memiliki rasa manis dengan lapisan beras ketan yang kenyal. Rasanya sangat nikmat.,,Piye rasane Kue Talam?,Kue talam nduweni rasa manis kanthi lapisan ketan kenyal. Rasane enak banget.,,How does Talam Cake taste?,Talam cake has a sweet taste with a layer of chewy sticky rice. It feels very delicious.
59,Suka Kue Leker atau Kue Dadar Gulung?,Saya lebih suka Kue Dadar Gulung. Kue Dadar Gulung memiliki isian yang lezat dan tekstur yang unik.,,Kowe seneng Kue Leker utawa Kue Telur Gulung?,Aku luwih seneng Rolled Pancakes. Rolled Omelet Cake nduweni isi sing enak lan tekstur sing unik.,,Do you like Leker Cake or Rolled Omelet Cake?,I prefer Rolled Pancakes. Rolled Omelet Cake has delicious filling and a unique texture.
60,Apakah kamu lebih suka Kue Mendut atau Kue Bolu Meranti?,"Saya lebih suka Kue Bolu Meranti karena rasanya manis dan teksturnya yang lembut. Kue Mendut juga enak, terutama karena lapisan gula yang renyah.",,Kowe luwih seneng Kue Mendut utawa Kue Meranti Bolu?,"Aku luwih seneng kue bolu Meranti amarga rasane manis lan teksture lembut. Kue Mendut uga enak, utamane amarga lapisan gula sing renyah.",,Do you prefer Mendut Cake or Meranti Bolu Cake?,"I prefer Meranti Sponge Cake because it tastes sweet and has a soft texture. Mendut Cake is also delicious, especially because of the crunchy sugar coating."
61,Bagaimana pendapatmu tentang Gethuk Lindri?,Saya suka Gethuk Lindri. Gethuk Lindri memiliki rasa manis dan tekstur kenyal yang khas.,,Apa pendapatmu tentang Gethuk Lindri?,Aku seneng Gethuk Lindri. Gethuk Lindri nduweni rasa manis lan tekstur kenyal sing khas.,,What do you think about Gethuk Lindri?,I like Gethuk Lindri. Gethuk Lindri has a distinctive sweet taste and chewy texture.
62,Bagaimana rasanya Kue Lumpur?,Kue Lumpur adalah kue manis dengan tekstur lembut dan sedikit lengket. Rasanya sangat lezat.,,Piye rasane Mud Cake?,Mud Cake yaiku kue sing legi kanthi tekstur sing lembut lan rada lengket. Rasane enak banget.,,How does Mud Cake taste?,Mud Cake is a sweet cake with a soft and slightly sticky texture. It tastes very delicious.
